"forms","pronunciation","translation_ru","category"
"η πρίζα","и прИза","розетка","дом"
"πριν από λίγο καιρό","прин апО лИго кэрО","недавно, некоторое время назад","время"
"το πρόβλημα","то прОвлима","проблема","служебные слова"
"η προβολή","и проволИ","показ, сеанс (кино)","досуг и спорт"
"το πρόγραμμα","то прОграма","программа, расписание","служебные слова"
"προγραμματισμένος; προγραμματισμένη; προγραμματισμένο","програматисмЭнос; програматисмЭни; програматисмЭно","запланированный","прилагательные"
"προετοιμάζω","проэтимАзо","подготавливать","глаголы"
"προηγούμενος; προηγούμενη; προηγούμενο","проигУмэнос; проигУмэни; проигУмэно","предыдущий","прилагательные"
"το προϊόν","то проиОн","продукт, товар","покупки и деньги"
"η πρόκληση","и прОклиси","вызов, испытание","служебные слова"
"προλαβαίνω","пролавЭно","успевать","глаголы"
"προσεκτικά","просэктикА","внимательно, осторожно","служебные слова"
"προσέχω","просЭхо","быть осторожным, обращать внимание","глаголы"
"προσθέτω","простЭто","добавлять","глаголы"
"η πρόσκληση","и прОсклиси","приглашение","служебные слова"
"η προσοχή","и просохИ","внимание, осторожность","служебные слова"
"προσκαλώ","проскалО","приглашать","глаголы"
"προσωπικός; προσωπική; προσωπικό","просопикОс; просопикИ; просопикО","личный","прилагательные"
"προσχολικός; προσχολική; προσχολικό","просхоликОс; просхоликИ; просхоликО","дошкольный","учёба"
"η πρόταση","и прОтаси","предложение (грамматическое); предложение (идея)","учёба"
"προτείνω","протИно","предлагать","глаголы"
"προτιμάω; προτιμώ","протимАо; протимО","предпочитать","глаголы"
"η προφορά","и профорА","произношение, акцент","учёба"
"το πρωινό","то проинО","утро","время"
"το πρωινό","то проинО","завтрак","еда и напитки"
"πρωινός; πρωινή; πρωινό","проинОс; проинИ; проинО","утренний","прилагательные"
"η Πρωτοχρονιά","и протохроньЯ","Новый год (праздник)","время"
"πρώτα","прОта","сначала, прежде всего","служебные слова"
"οι πρώτες βοήθειες","и прОтэс воИтьэс","первая помощь","тело и здоровье"
"η πυραμίδα","и пирамИда","пирамида","учёба"
"η πυροσβεστική","и пиросвэстикИ","пожарная служба","работа и профессии"
"ο πωλητής; η πωλήτρια","о политИс; и полИтрья","продавец","работа и профессии"
"Πώς σε λένε;","пос сэ лЭнэ;","Как тебя зовут?","приветствия"
"το ραδιόφωνο","то радьОфоно","радио","служебные слова"
"ο ραδιοφωνικός σταθμός","о радьофоникОс статмОс","радиостанция","служебные слова"
"η ραδιοφωνική εκπομπή","и радьофоникИ экпомбИ","радиопередача","служебные слова"
"το ραντεβού","то рандэвУ","встреча, свидание","служебные слова"
"η ράτσα ζώου","и рАца зОу","порода животного","животные"
"το ρεσιτάλ","то рэситАл","сольный концерт","досуг и спорт"
"το ρεύμα","то рЭвма","электричество, ток","дом"
"η ρίγανη","и рИгани","орегано, душица","еда и напитки"
"ρίχνω","рИхно","бросать, ронять","глаголы"
"η ροκ μουσική","и рок мусикИ","рок-музыка","досуг и спорт"
"ο ρόλος","о рОлос","роль","досуг и спорт"
"το ρούχο","то рУхо","одежда (предмет)","одежда"
"ο ρυθμός","о ритмОс","ритм","досуг и спорт"
"το Σαββατοκύριακο","то саватокИрьако","выходные","время"
"το σακάκι","то сакАки","пиджак","одежда"
"η σακούλα","и сакУла","пакет (пластиковый)","покупки и деньги"
"το σαμπουάν","то самбуАн","шампунь","покупки и деньги"
"το σαπούνι","то сапУни","мыло","дом"
"σβήνω","свИно","стирать, удалять","глаголы"
"σβήνω τη φωτιά","свИно ти фотьЯ","тушить огонь","глаголы"
"σγουρός; σγουρή; σγουρό","сгурОс; сгурИ; сгурО","кудрявый","чувства и характер"
"η σειρά","и сирА","порядок, ряд, очередь","служебные слова"
"η σειρά μου","и сирА му","моя очередь","служебные слова"
"η σελίδα","и сэлИда","страница","учёба"
"το σεντόνι","то сэндОни","простыня","дом"
"σερβίρω","сэрвИро","подавать (еду)","глаголы"
"σημαίνω","симЭно","значить, означать","глаголы"
"η σημασία","и симасИа","значение","служебные слова"
"σημειώνω; κρατάω σημειώσεις","симьОно; кратАо симьОсис","записывать, делать заметки","глаголы"
"η σημείωση","и симИоси","заметка","учёба"
"σίγουρος; σίγουρη; σίγουρο","сИгурос; сИгури; сИгуро","уверенный","чувства и характер"
"οι σκάλες","и скАлэс","лестница","дом"
"η σκέψη","и скЭпси","мысль","служебные слова"
"η σκηνή","и скинИ","сцена (театральная)","досуг и спорт"
"το σκηνικό","то скиникО","декорация","досуг и спорт"
"ο σκηνοθέτης; η σκηνοθέτης","о скинотЭтис; и скинотЭтис","режиссёр","работа и профессии"
"το σκίτσο","то скИцо","набросок, скетч","досуг и спорт"
"σκληρός; σκληρή; σκληρό","склирОс; склирИ; склирО","твёрдый, жёсткий","прилагательные"
"το σκουπίδι","то скупИди","мусор","дом"
"η σκόνη","и скОни","пыль, порошок","дом"
"ο σκοπός","о скопОс","цель","служебные слова"
"το σκόρδο","то скОрдо","чеснок","еда и напитки"
"σκορπίζω","скорпИзо","рассыпать, разбрасывать","глаголы"
"σκουπίζω","скупИзо","вытирать, подметать","глаголы"
"ο σκούφος; το σκουφί","о скУфос; то скуфИ","шапка","одежда"
"σοβαρός; σοβαρή; σοβαρό","соварОс; соварИ; соварО","серьёзный","прилагательные"
"σοβαρά","соварА","серьёзно","служебные слова"
"η μαγειρική σόδα","и майирикИ сОда","пищевая сода","еда и напитки"
"η σοπράνο","и сопрАно","сопрано","досуг и спорт"
"σπάζω","спАзо","ломать, разбивать","глаголы"
"σπάνια","спАнья","редко","служебные слова"
"είμαι σπίτι","Имэ спИти","быть дома","дом"
"μένω σπίτι","мЭно спИти","оставаться дома","дом"
"σπιτικός; σπιτική; σπιτικό","спитикОс; спитикИ; спитикО","домашний (о еде)","еда и напитки"
"το σπυρί","то спирИ","прыщик","тело и здоровье"
"σπουδάζω","спудАзо","учиться (в вузе)","учёба"
"οι σπουδές","и спудЭс","учёба, обучение","учёба"
"σπουδαίος; σπουδαία; σπουδαίο","спудЭос; спудЭа; спудЭо","выдающийся, замечательный","прилагательные"
"η σταγόνα","и стагОна","капля","служебные слова"
"η στάση λεωφορείου","и стАси лэофорИу","автобусная остановка","транспорт и путешествия"
"στεναχωρημένος; στεναχωρημένη; στεναχωρημένο","стэнахоримЭнос; стэнахоримЭни; стэнахоримЭно","расстроенный, грустный","чувства и характер"
"στενός; στενή; στενό","стэнОс; стэнИ; стэнО","узкий, тесный","прилагательные"
"η στήλη","и стИли","колонка, столбец","служебные слова"
"η στιγμή","и стигмИ","момент, миг","время"
"το στιλ","то стил","стиль","одежда"
"το στομάχι","то стомАхи","желудок","тело и здоровье"
"το στοιχείο","то стихИо","данные, элемент","служебные слова"
"το στρώμα","то стрОма","матрас","дом"
"στρώνω","стрОно","застилать, накрывать (на стол)","глаголы"
"ο συγγραφέας; η συγγραφέας","о синграфЭас; и синграфЭас","писатель","работа и профессии"
"ο συγκάτοικος; η συγκάτοικος","о сингАтикос; и сингАтикос","сосед по квартире","семья и люди"
"συγκρίνω","сингрИно","сравнивать","глаголы"
"το συγκρότημα","то сингрОтима","музыкальная группа","досуг и спорт"
"τα συγχαρητήρια","та синхаритИрья","поздравления","приветствия"
"σύγχρονος; σύγχρονη; σύγχρονο","сИнхронос; сИнхрони; сИнхроно","современный","прилагательные"
"συζητάω; συζητώ","сизитАо; сизитО","обсуждать","глаголы"
"η συζήτηση","и сизИтиси","разговор, обсуждение","служебные слова"
"συλλέγω","силЭго","коллекционировать","глаголы"
"τα συλληπητήρια","та силипитИрья","соболезнования","приветствия"
"η συμβουλή","и симвулИ","совет","служебные слова"
"ο συμμαθητής; η συμμαθήτρια","о симатитИс; и симатИтрья","одноклассник","учёба"
"συμπαθώ","симбатО","симпатизировать","чувства и характер"
"συμπαθητικός; συμπαθητική; συμπαθητικό","симбатитикОс; симбатитикИ; симбатитикО","симпатичный, приятный (о человеке)","прилагательные"
"συμφωνώ","симфонО","соглашаться","глаголы"
"συμπληρώνω","симблирОно","заполнять, дополнять","глаголы"
"ο συμφοιτητής; η συμφοιτήτρια","о симфититИс; и симфитИтрья","сокурсник","учёба"
"ο συνάδελφος; η συνάδελφος","о синАдэлфос; и синАдэлфос","коллега","работа и профессии"
"συναντάω; συναντώ","синандАо; синандО","встречать","глаголы"
"η συνάντηση","и синАндиси","встреча","служебные слова"
"η συναυλία","и синавлИа","концерт","досуг и спорт"
"το συνεργείο","то синэрйИо","автомастерская","транспорт и путешествия"
"έχει συννεφιά","Эхи синэфьЯ","облачно","погода и природа"
"συνεχίζω","синэхИзо","продолжать","глаголы"
"η συνέντευξη","и синЭндэфкси","интервью","работа и профессии"
"παίρνω συνέντευξη","пЭрно синЭндэфкси","брать интервью","работа и профессии"
"συνέχεια","синЭхья","постоянно, всё время","служебные слова"
"η συνέχεια","и синЭхья","продолжение","служебные слова"
"στη συνέχεια","сти синЭхья","затем, после этого","служебные слова"
"η συνήθεια","и синИтья","привычка","служебные слова"
"συνηθισμένος; συνηθισμένη; συνηθισμένο","синитисмЭнос; синитисмЭни; синитисмЭно","обычный, привычный","прилагательные"
"συνήθως","синИтос","обычно","служебные слова"
"ο συνθέτης; η συνθέτης","о синтЭтис; и синтЭтис","композитор","работа и профессии"
"η συμπεριφορά","и симбэрифорА","поведение","чувства и характер"
"η συνταγή","и синдайИ","рецепт","еда и напитки"
"σύντομα","сИндома","скоро","служебные слова"
"σύντομος; σύντομη; σύντομο","сИндомос; сИндоми; сИндомо","короткий, краткий","прилагательные"
"το συρτάκι","то сиртАки","сиртаки (греческий танец)","досуг и спорт"
"το συρτάρι","то сиртАри","ящик (мебели)","дом"
"η συσκευή","и сискэвИ","устройство, прибор","служебные слова"
"συστήνω","систИно","знакомить, представлять; рекомендовать","глаголы"
"συστημένος; συστημένη; συστημένο","систимЭнос; систимЭни; систимЭно","рекомендованный","прилагательные"
"το συστημένο γράμμα","то систимЭно грАма","заказное письмо","служебные слова"
"συχνός; συχνή; συχνό","сихнОс; сихнИ; сихнО","частый","прилагательные"
"σχεδιάζω","схэдьАзо","рисовать, проектировать","глаголы"
"σφιχτός; σφιχτή; σφιχτό","сфихтОс; сфихтИ; сфихтО","тугой, плотный","прилагательные"
"το σχεδιάγραμμα","то схэдьАграма","схема, диаграмма","учёба"
"σχεδόν","схэдОн","почти","служебные слова"
"σε σχέση με","сэ схЭси мэ","по отношению к","служебные слова"
"σχετικά","схэтикА","относительно, что касается","служебные слова"
"πηγαίνω στο σχολείο","пигЭно сто схолИо","ходить в школу","учёба"
"σχολικός; σχολική; σχολικό","схоликОс; схоликИ; схоликО","школьный","учёба"
"το σώμα","то сОма","тело","тело и здоровье"
"σωστός; σωστή; σωστό","состОс; состИ; состО","правильный","прилагательные"
"σωστά","состА","правильно","служебные слова"
"η ταβέρνα","и тавЭрна","таверна","город и направления"
"το τάγκο","то тАнго","танго","досуг и спорт"
"ταιριάζω","тэрьАзо","подходить, сочетаться","глаголы"
"το ταξιδιωτικό γραφείο","то таксидьотикО графИо","туристическое агентство","транспорт и путешествия"
"η αστυνομική ταυτότητα","и астиномикИ тафтОтита","удостоверение личности","служебные слова"
"το ταψί","то тапсИ","противень","дом"
"τέλεια","тЭлья","отлично, идеально","служебные слова"
"η τελεία","и тэлИа","точка (пунктуация)","учёба"
"τέλειος; τέλεια; τέλειο","тЭльос; тЭлья; тЭльо","идеальный","прилагательные"
"τελικά","тэликА","в итоге, в конце концов","служебные слова"
"το τέλος","то тЭлос","конец","служебные слова"
"το τένις","то тЭнис","теннис","досуг и спорт"
"τεράστιος; τεράστια; τεράστιο","тэрАстьос; тэрАстья; тэрАстьо","огромный","прилагательные"
"το τέρμα λεωφορείου","то тЭрма лэофорИу","конечная остановка автобуса","транспорт и путешествия"
"τέσσερις; τέσσερα","тЭсэрис; тЭсэра","четыре","числа"
"τέτοιος; τέτοια; τέτοιο","тЭтьос; тЭтья; тЭтьо","такой","местоимения и вопросы"
"τ.μ.","т.м.","квадратный метр (сокращение)","служебные слова"
"η τέχνη","и тЭхни","искусство","учёба"
"τεχνολογικός; τεχνολογική; τεχνολογικό","тэхнолойикОс; тэхнолойикИ; тэхнолойикО","технологический","прилагательные"
"η τζαζ","и дзаз","джаз","досуг и спорт"
"το τζάκι","то дзАки","камин","дом"
"το τζάμι","то дзАми","оконное стекло","дом"
"το τηγάνι","то тигАни","сковорода","дом"
"η τηλεόραση","и тилэОраси","телевизор","дом"
"στην τηλεόραση","стин тилэОраси","по телевизору","дом"
"το τηλεφώνημα","то тилэфОнима","телефонный звонок","служебные слова"
"το τηλέφωνο","то тилЭфоно","телефон","служебные слова"
"τηλεφωνώ; παίρνω τηλέφωνο","тилэфонО; пЭрно тилЭфоно","звонить по телефону","глаголы"
"το αστυνομικό τμήμα","то астиномикО тмИма","полицейский участок","город и направления"
"ο τόνος","о тОнос","знак ударения","учёба"
"τονισμένος; τονισμένη; τονισμένο","тонисмЭнос; тонисмЭни; тонисмЭно","ударный (о слоге)","учёба"
"ο τόπος","о тОпос","место, местность","город и направления"
"η τοποθεσία","и топотэсИа","местоположение","город и направления"
"τόσος; τόση; τόσο","тОсос; тОси; тОсо","столько, такое количество","служебные слова"
"τουλάχιστον","тулАхистон","по крайней мере","служебные слова"
"ο τουρίστας; η τουρίστρια","о турИстас; и турИстрья","турист","транспорт и путешествия"
"τουριστικός; τουριστική; τουριστικό","туристикОс; туристикИ; туристикО","туристический","прилагательные"
"η τούρτα","и тУрта","торт","еда и напитки"
"ο τραγουδιστής; η τραγουδίστρια","о трагудистИс; и трагудИстрья","певец","работа и профессии"
"το τραπεζομάντιλο","то трапэзомАндило","скатерть","дом"
"τρεις; τρία","трис; трИа","три","числа"
"το τρέξιμο","то трЭксимо","бег","досуг и спорт"
"πηγαίνω για τρέξιμο","пигЭно я трЭксимо","ходить бегать","досуг и спорт"
"τρίβω","трИво","тереть","глаголы"
"ο τρόπος","о трОпос","способ, манера","служебные слова"
"η τροφή","и трофИ","пища, еда","еда и напитки"
"τρυφερός; τρυφερή; τρυφερό","трифэрОс; трифэрИ; трифэрО","нежный","чувства и характер"
"η τσάντα","и цАнда","сумка","одежда"
"ο τύπος","о тИпос","тип, вид","служебные слова"
"τυχερός; τυχερή; τυχερό","тихэрОс; тихэрИ; тихэрО","везучий","чувства и характер"
"η υγεία","и ийИа","здоровье","тело и здоровье"
"ο υδράργυρος","о идрАрйирос","ртуть","служебные слова"
"το υλικό","то иликО","материал","служебные слова"
"το υλικό","то иликО","ингредиент","еда и напитки"
"υπάρχει","ипАрхи","имеется, есть","служебные слова"
"υπάρχω","ипАрхо","существовать","глаголы"
"υπέροχος; υπέροχη; υπέροχο","ипЭрохос; ипЭрохи; ипЭрохо","великолепный, чудесный","прилагательные"
"η υπερωρία","и ипэрорИа","сверхурочная работа","работа и профессии"
"υπεύθυνος; υπεύθυνη; υπεύθυνο","ипЭфтинос; ипЭфтини; ипЭфтино","ответственный","прилагательные"
"το υπνοδωμάτιο","то ипнодомАтьо","спальня","дом"
"η υπηρεσία","и ипирэсИа","служба, услуга","служебные слова"
"υπογραμμίζω","ипограмИзо","подчёркивать","глаголы"
"ο υπολογιστής","о иполойистИс","компьютер","служебные слова"
"υπόλοιπος; υπόλοιπη; υπόλοιπο","ипОлипос; ипОлипи; ипОлипо","оставшийся","прилагательные"
"ο ύπνος","о Ипнос","сон","тело и здоровье"
"υποχρεωτικός; υποχρεωτική; υποχρεωτικό","ипохрэотикОс; ипохрэотикИ; ипохрэотикО","обязательный","прилагательные"
"ο υποψήφιος; η υποψήφια","о ипопсИфьос; и ипопсИфья","кандидат","работа и профессии"
"ύστερα","Истэра","потом, затем","служебные слова"
"το ύφασμα","то Ифасма","ткань","одежда"
"υψηλή θερμοκρασία","ипсилИ тэрмокрасИа","высокая температура","тело и здоровье"
"το φαγητό","то файитО","еда, блюдо","еда и напитки"
"φαίνομαι","фЭномэ","казаться, выглядеть","глаголы"
"μου φαίνεται","му фЭнэтэ","мне кажется","служебные слова"
"ο φάκελος","о фАкэлос","конверт, папка","служебные слова"
"η φακή","и факИ","чечевица","еда и напитки"
"φανταστικά","фандастикА","потрясающе, изумительно","служебные слова"
"ο φαρμακοποιός; η φαρμακοποιός","о фармакопьОс; и фармакопьОс","фармацевт","работа и профессии"
"η φασαρία","и фасарИа","суета, шум","служебные слова"
"το φασόλι","то фасОли","фасоль","еда и напитки"
"το φέιγ βολάν","то фэиг волАн","листовка, буклет","служебные слова"
"φέρνω","фЭрно","приносить","глаголы"
"το φεστιβάλ","то фэстивАл","фестиваль","досуг и спорт"
"φέτος","фЭтос","в этом году","время"
"φετινός; φετινή; φετινό","фэтинОс; фэтинИ; фэтинО","этого года, нынешний","прилагательные"
"φιλάω; φιλώ","филАо; филО","целовать","глаголы"
"το φιλί","то филИ","поцелуй","чувства и характер"
"φιλικός; φιλική; φιλικό","филикОс; филикИ; филикО","дружелюбный","прилагательные"
"η φιλολογία","и филолойИа","филология, литература","учёба"
"φιλοξενώ","филоксэнО","принимать (гостей), оказывать гостеприимство","глаголы"
"το φλιτζάνι","то флидзАни","чашка","дом"
"η φοιτητική εστία","и фититикИ эстИа","студенческое общежитие","учёба"
"φοιτώ","фитО","учиться, быть студентом","учёба"
"η φορά","и форА","раз (кратность)","служебные слова"
"μία φορά","мИа форА","один раз","служебные слова"
"η φόρμα","и фОрма","спортивный костюм","одежда"
"το φουντούκι","то фундУки","фундук","еда и напитки"
"το φουστάνι","то фустАни","платье","одежда"
"η φράση","и фрАси","фраза","учёба"
"φροντίζω","фрондИзо","заботиться","глаголы"
"η φροντίδα","и фрондИда","забота","служебные слова"
"το φρούτο","то фрУто","фрукт","еда и напитки"
"το φτερό","то фтэрО","перо, крыло","животные"
"φτιάχνω","фтьАхно","чинить, делать","глаголы"
"το φυλλάδιο","то филАдьо","брошюра, буклет","служебные слова"
"το φύλλο","то фИло","лист","погода и природа"
"το φυσικό αέριο","то фисикО аЭрьо","природный газ","дом"
"το φυτό","то фитО","растение","погода и природа"
"φυτεύω","фитЭво","сажать (растения)","глаголы"
"φυσάω; φυσώ","фисАо; фисО","дуть","глаголы"
"η φύση","и фИси","природа","погода и природа"
"φυσικά","фисикА","конечно, естественно","служебные слова"
"η φωτιά","и фотьЯ","огонь","служебные слова"
"φωτίζω","фотИзо","освещать","глаголы"
"το φωτιστικό","то фотистикО","светильник","дом"
"ο φωτογράφος; η φωτογράφος","о фотогрАфос; и фотогрАфос","фотограф","работа и профессии"
"η φωτογραφία","и фотографИа","фотография","служебные слова"
"το χάδι","то хАди","ласка, прикосновение","чувства и характер"
"χαιρετάω; χαιρετώ","хэрэтАо; хэрэтО","здороваться","глаголы"
"χαίρετε","хЭрэтэ","здравствуйте (формальное)","приветствия"
"ο χαιρετισμός","о хэрэтисмОс","приветствие","приветствия"
"το χαλί","то халИ","ковёр","дом"
"χαλάω; χαλώ","халАо; халО","ломаться, портиться","глаголы"
"χαμηλός; χαμηλή; χαμηλό","хамилОс; хамилИ; хамилО","низкий","прилагательные"
"το χαμάμ","то хамАм","турецкая баня, хаммам","город и направления"
"το χαμόγελο","то хамОйэло","улыбка","чувства и характер"
"το χαμομήλι","то хамомИли","ромашка (чай)","еда и напитки"
"το χάπι","то хАпи","таблетка","тело и здоровье"
"η χαρά","и харА","радость","чувства и характер"
"ο χάρακας","о хАракас","линейка (для черчения)","учёба"
"ο χαρακτήρας","о характИрас","характер, персонаж","чувства и характер"
"χαρίζω","харИзо","дарить","глаголы"
"ο χάρτης","о хАртис","карта (географическая)","город и направления"
"η χαρτοπετσέτα","и хартопэцЭта","бумажная салфетка","дом"
"το χιλιόμετρο","то хильОмэтро","километр","транспорт и путешествия"
"χιονίζει","хьонИзи","идёт снег","погода и природа"
"χλιαρός; χλιαρή; χλιαρό","хльарОс; хльарИ; хльарО","тёплый, чуть тёплый","прилагательные"
"το χολ","то хол","прихожая, коридор","дом"
"χοντρός; χοντρή; χοντρό","хондрОс; хондрИ; хондрО","толстый","прилагательные"
"ο χορευτής; η χορεύτρια","о хорэфтИс; и хорЭфтрья","танцор","работа и профессии"
"τα χρήματα","та хрИмата","деньги","покупки и деньги"
"χρησιμοποιώ","хрисимопьО","использовать","глаголы"
"η χρήση","и хрИси","использование","служебные слова"
"Χριστός Ανέστη!","христОс анЭсти!","Христос воскрес!","приветствия"
"χριστουγεννιάτικος; χριστουγεννιάτικη; χριστουγεννιάτικο","христуйэньАтикос; христуйэньАтики; христуйэньАтико","рождественский","прилагательные"
"ο χρόνος","о хрОнос","время","время"
"ο χρόνος; τα χρόνια","о хрОнос; та хрОнья","год, годы","время"
"η χρονιά","и хроньЯ","год (период)","время"
"Χρόνια πολλά!","хрОнья полА!","С Рождеством!","приветствия"
"Χρόνια πολλά!","хрОнья полА!","С днём рождения!","приветствия"
"το χρώμα","то хрОма","цвет","цвета"
"χρωματιστός; χρωματιστή; χρωματιστό","хроматистОс; хроматистИ; хроматистО","цветной","цвета"
"χτες; χθες","хтэс; хтэс","вчера","время"
"χτυπάω; χτυπώ","хтипАо; хтипО","получить травму, ушибиться","тело и здоровье"
"χτυπάει το τηλέφωνο","хтипАи то тилЭфоно","звонит телефон","служебные слова"
"η χώρα","и хОра","страна","город и направления"
"ο χώρος","о хОрос","пространство, помещение","служебные слова"
"ψάχνω","псАхно","искать","глаголы"
"το ψέμα","то псЭма","ложь","служебные слова"
"λέω ψέματα","лЭо псЭмата","врать","служебные слова"
"ψητός; ψητή; ψητό","пситОс; пситИ; пситО","жареный, запечённый","еда и напитки"
"ψιχαλίζει","психалИзи","моросит","погода и природа"
"τα ψώνια","та псОнья","покупки","покупки и деньги"
"ψωνίζω","псонИзо","делать покупки","глаголы"
"το ωδείο","то одИо","консерватория","учёба"
"η ώρα είναι τέσσερις","и Ора Инэ тЭсэрис","сейчас четыре часа","время"
"η ώρα είναι τεσσερισήμισι","и Ора Инэ тэсэрисИмиси","сейчас половина пятого","время"
"ωραίος; ωραία; ωραίο","орЭос; орЭа; орЭо","красивый, приятный","прилагательные"
"ωραία","орЭа","красиво, хорошо","служебные слова"
"το ωράριο","то орАрьо","расписание, график работы","работа и профессии"
"ως","ос","до, вплоть до","служебные слова"
"ώστε","Остэ","так что, чтобы","служебные слова"
"ωστόσο","остОсо","тем не менее, однако","служебные слова"
"η Αγγλία","и англИа","Англия","город и направления"
"ο Άγγλος; η Αγγλίδα","о Англос; и англИда","англичанин, англичанка","город и направления"
"η Αθήνα","и атИна","Афины","город и направления"
"το Βερολίνο","то вэролИно","Берлин","город и направления"
"η Βουλγαρία","и вулгарИа","Болгария","город и направления"
"η Γαλλία","и галИа","Франция","город и направления"
"ο Γάλλος; η Γαλλίδα","о гАлос; и галИда","француз, француженка","город и направления"
"ο Γερμανός; η Γερμανίδα","о йэрманОс; и йэрманИда","немец, немка","город и направления"
"η Δράμα","и дрАма","Драма (город в Греции)","город и направления"
"η Ελλάδα","и элАда","Греция","город и направления"
"ο Έλληνας; η Ελληνίδα","о Элинас; и элинИда","грек, гречанка","город и направления"
"Καλή επιτυχία!","калИ эпитихИа!","Удачи!","приветствия"
"ο Ευρωπαίος; η Ευρωπαία","о эвропЭос; и эвропЭа","европеец, европейка","город и направления"
"η Ευρώπη","и эврОпи","Европа","город и направления"
"η Ζυρίχη","и зирИхи","Цюрих","город и направления"
"η Καβάλα","и кавАла","Кавала (город в Греции)","город и направления"
"Καλό Πάσχα!","калО пАсха!","Счастливой Пасхи!","приветствия"
"Καλή Ανάσταση!","калИ анАстаси!","Со светлым Воскресением!","приветствия"
"η Κέρκυρα","и кЭркира","Керкира, Корфу","город и направления"
"η Κομοτηνή","и комотинИ","Комотини (город в Греции)","город и направления"
"η Κρήτη","и крИти","Крит","город и направления"
"η Λάρισα","и лАриса","Лариса (город в Греции)","город и направления"
"το Λονδίνο","то лондИно","Лондон","город и направления"
"το Λύκειο","то лИкьо","лицей (старшая школа)","учёба"
"Σας παρακαλώ!","сас паракалО!","Пожалуйста! (вежливая форма, на ""вы"")","приветствия"
"το Πάσχα","то пАсха","Пасха","время"
"η Τουρκία","и туркИа","Турция","город и направления"
"η Τρίπολη","и трИполи","Триполи (город в Греции)","город и направления"
"η Τροχαία","и трохЭа","дорожная полиция","работа и профессии"
"τα Χριστούγεννα","та христУйэна","Рождество","время"
"η αγγλική γλώσσα","и англикИ глОса","английский язык","учёба"
"αδύνατος; αδύνατη; αδύνατο","адИнатос; адИнати; адИнато","худой, тонкий","прилагательные"
"το ΑΕΙ (Ανώτατο Εκπαιδευτικό Ίδρυμα)","аИ","высшее учебное заведение","учёба"
"η ασχολία","и асхолИа","занятие, хобби","досуг и спорт"
"το ΤΕΙ (Τεχνολογικό Εκπαιδευτικό Ίδρυμα)","тИ","технологический институт","учёба"
"η Γερμανία","и йэрманИа","Германия","город и направления"
"η γερμανική γλώσσα","и йэрманикИ глОса","немецкий язык","учёба"
"δικός μου; δικός σου; δικός του; δικός της; δικός μας; δικός σας; δικός τους","дикОс му; дикОс су; дикОс ту; дикОс тис; дикОс мас; дикОс сас; дикОс тус","мой/твой/его/её/наш/ваш/их (собственный, отдельно от существительного)","местоимения и вопросы"
"κλεισμένος; κλεισμένη; κλεισμένο","клисмЭнос; клисмЭни; клисмЭно","закрытый, забронированный","прилагательные"
"κλειστός; κλειστή; κλειστό","клистОс; клистИ; клистО","закрытый (о глазах, окнах)","прилагательные"
"το λάθος","то лАтос","ошибка","служебные слова"
"λάθος","лАтос","неправильный, неверный","прилагательные"
"λειτουργώ","литургО","функционировать, работать (о технике); быть открытым (об учреждении)","глаголы"
"ο ξένος; η ξένη","о ксЭнос; и ксЭни","незнакомец, чужой человек","семья и люди"
"η ποίηση","и пИиси","поэзия","учёба"
"σίγουρα","сИгура","точно, определённо, конечно","служебные слова"
"το σινεμά","то синэмА","кино (разговорное)","досуг и спорт"
